PosX,PosY,RSSI,Name,Timestamp
11.724593,5.658967,-60,egopi3,1488829756233
11.724593,5.658967,-91,egopi1,1488829756245
11.724593,5.658967,-83,egopi2,1488829756314
11.724593,5.658967,-64,egopi3,1488829756359
11.724593,5.658967,-83,egopi1,1488829756376
11.724593,5.658967,-86,egopi2,1488829756441
11.724593,5.658967,-64,egopi3,1488829756484
11.724593,5.658967,-84,egopi1,1488829756501
11.724593,5.658967,-80,egopi2,1488829756566
11.724593,5.658967,-75,egopi3,1488829756612
11.724593,5.658967,-75,egopi1,1488829756626
11.724593,5.658967,-89,egopi2,1488829756693
11.724593,5.658967,-63,egopi3,1488829756738
11.724593,5.658967,-77,egopi1,1488829756750
11.724593,5.658967,-88,egopi2,1488829756818
11.724593,5.658967,-68,egopi3,1488829756863
11.724593,5.658967,-78,egopi1,1488829756882
11.724593,5.658967,-81,egopi2,1488829756947
11.724593,5.658967,-61,egopi3,1488829756992
11.724593,5.658967,-83,egopi1,1488829757013
11.724593,5.658967,-86,egopi2,1488829757073
11.724593,5.658967,-60,egopi3,1488829757121
11.724593,5.658967,-79,egopi1,1488829757131
11.724593,5.658967,-90,null,1488829757149
11.724593,5.658967,-88,null,1488829757162
11.724593,5.658967,-67,egopi3,1488829757245
11.724593,5.658967,-80,egopi2,1488829757322
11.724593,5.658967,-97,null,1488829757340
11.724593,5.658967,-71,egopi3,1488829757371
11.724593,5.658967,-84,egopi2,1488829757452
11.724593,5.658967,-68,egopi3,1488829757497
11.724593,5.658967,-90,egopi1,1488829757517
11.724593,5.658967,-97,null,1488829757533
11.724593,5.658967,-91,egopi2,1488829757579
11.724593,5.658967,-82,egopi3,1488829757624
11.724593,5.658967,-83,egopi1,1488829757639
11.724593,5.658967,-85,egopi2,1488829757708
11.724593,5.658967,-64,egopi3,1488829757753
11.724593,5.658967,-83,egopi1,1488829757770
11.724593,5.658967,-91,egopi2,1488829757836
11.724593,5.658967,-66,egopi3,1488829757878
11.724593,5.658967,-83,egopi1,1488829757892
11.724593,5.658967,-80,egopi2,1488829757960
11.724593,5.658967,-69,egopi3,1488829758005
11.724593,5.658967,-74,egopi1,1488829758019
11.724593,5.658967,-82,egopi2,1488829758086
11.724593,5.658967,-67,egopi3,1488829758132
11.724593,5.658967,-78,egopi1,1488829758145
11.724593,5.658967,-86,egopi2,1488829758211
11.724593,5.658967,-65,egopi3,1488829758258
11.724593,5.658967,-83,egopi1,1488829758271
11.724593,5.658967,-89,egopi2,1488829758339
11.724593,5.658967,-73,egopi3,1488829758384
11.724593,5.658967,-80,egopi1,1488829758395
11.724593,5.658967,-82,egopi2,1488829758466
11.724593,5.658967,-69,egopi3,1488829758509
11.724593,5.658967,-76,egopi1,1488829758526
11.724593,5.658967,-78,egopi2,1488829758592
11.724593,5.658967,-91,null,1488829758623
11.724593,5.658967,-66,egopi3,1488829758643
11.724593,5.658967,-85,egopi1,1488829758667
11.724593,5.658967,-66,egopi3,1488829758772
11.724593,5.658967,-84,egopi1,1488829758793
11.724593,5.658967,-91,null,1488829758814
11.724593,5.658967,-84,egopi2,1488829758851
11.724593,5.658967,-64,egopi3,1488829758891
11.724593,5.658967,-84,egopi1,1488829758914
11.724593,5.658967,-81,egopi2,1488829758976
11.724593,5.658967,-58,egopi3,1488829759012
11.724593,5.658967,-88,egopi1,1488829759036
11.724593,5.658967,-72,egopi3,1488829759138
11.724593,5.658967,-88,egopi1,1488829759162
11.724593,5.658967,-85,egopi2,1488829759230
11.724593,5.658967,-85,egopi3,1488829759263
11.724593,5.658967,-83,egopi1,1488829759292
11.724593,5.658967,-78,egopi2,1488829759355
11.724593,5.658967,-93,null,1488829759362
11.724593,5.658967,-67,egopi3,1488829759390
11.724593,5.658967,-79,egopi1,1488829759418
11.724593,5.658967,-81,egopi2,1488829759485
11.724593,5.658967,-74,egopi3,1488829759519
11.724593,5.658967,-76,egopi2,1488829759614
11.724593,5.658967,-74,egopi3,1488829759640
11.724593,5.658967,-81,egopi1,1488829759671
11.724593,5.658967,-94,null,1488829759722
11.724593,5.658967,-79,egopi2,1488829759739
11.724593,5.658967,-69,egopi3,1488829759769
11.724593,5.658967,-79,egopi1,1488829759795
11.724593,5.658967,-82,egopi2,1488829759864
11.724593,5.658967,-67,egopi3,1488829759894
11.724593,5.658967,-79,egopi1,1488829759920
11.724593,5.658967,-69,egopi3,1488829760025
11.724593,5.658967,-88,egopi1,1488829760044
11.724593,5.658967,-85,egopi2,1488829760116
11.724593,5.658967,-73,egopi3,1488829760148
11.724593,5.658967,-82,egopi1,1488829760174
11.724593,5.658967,-81,egopi2,1488829760241
11.724593,5.658967,-67,egopi3,1488829760276
11.724593,5.658967,-83,egopi2,1488829760369
11.724593,5.658967,-71,egopi3,1488829760400
11.724593,5.658967,-71,egopi3,1488829760530
11.724593,5.658967,-84,egopi1,1488829760554
11.724593,5.658967,-82,egopi2,1488829760626
11.724593,5.658967,-68,egopi3,1488829760657
11.724593,5.658967,-82,egopi1,1488829760682
11.724593,5.658967,-80,egopi2,1488829760749
11.724593,5.658967,-64,egopi3,1488829760786
11.724593,5.658967,-77,egopi1,1488829760811
11.724593,5.658967,-77,egopi2,1488829760878
11.724593,5.658967,-81,egopi3,1488829760912
11.724593,5.658967,-84,egopi1,1488829760932
11.724593,5.658967,-93,null,1488829760999
11.724593,5.658967,-75,egopi2,1488829761003
11.724593,5.658967,-74,egopi3,1488829761038
11.724593,5.658967,-84,egopi1,1488829761059
11.724593,5.658967,-75,egopi2,1488829761126
11.724593,5.658967,-73,egopi3,1488829761163
11.724593,5.658967,-77,egopi1,1488829761186
11.724593,5.658967,-76,egopi2,1488829761255
11.724593,5.658967,-61,egopi3,1488829761288
11.724593,5.658967,-80,egopi1,1488829761314
11.724593,5.658967,-78,egopi2,1488829761380
11.724593,5.658967,-69,egopi3,1488829761417
11.724593,5.658967,-77,egopi1,1488829761444
11.724593,5.658967,-92,egopi2,1488829761508
11.724593,5.658967,-80,egopi1,1488829761570
11.724593,5.658967,-78,egopi2,1488829761634
11.724593,5.658967,-67,egopi3,1488829761669
11.724593,5.658967,-79,egopi1,1488829761696
11.724593,5.658967,-92,null,1488829761723
11.724593,5.658967,-76,egopi2,1488829761759
11.724593,5.658967,-67,egopi3,1488829761798
11.724593,5.658967,-89,egopi1,1488829761824
11.724593,5.658967,-78,egopi2,1488829761884
11.724593,5.658967,-69,egopi3,1488829761926
11.724593,5.658967,-84,egopi1,1488829761951
11.724593,5.658967,-88,egopi2,1488829762014
11.724593,5.658967,-63,egopi3,1488829762053
11.724593,5.658967,-85,egopi1,1488829762080
11.724593,5.658967,-73,egopi2,1488829762140
11.724593,5.658967,-69,egopi3,1488829762184
11.724593,5.658967,-92,egopi1,1488829762207
11.724593,5.658967,-79,egopi2,1488829762267
11.724593,5.658967,-68,egopi3,1488829762307
11.724593,5.658967,-82,egopi1,1488829762334
11.724593,5.658967,-79,egopi2,1488829762392
11.724593,5.658967,-64,egopi3,1488829762432
11.724593,5.658967,-76,egopi1,1488829762457
11.724593,5.658967,-79,egopi2,1488829762516
11.724593,5.658967,-79,egopi1,1488829762585
11.724593,5.658967,-76,egopi2,1488829762641
11.724593,5.658967,-67,egopi3,1488829762689
11.724593,5.658967,-82,egopi1,1488829762711
11.724593,5.658967,-79,egopi2,1488829762768
11.724593,5.658967,-73,egopi3,1488829762816
11.724593,5.658967,-78,egopi1,1488829762840
11.724593,5.658967,-76,egopi2,1488829762894
11.724593,5.658967,-67,egopi3,1488829762943
11.724593,5.658967,-78,egopi1,1488829762965
11.724593,5.658967,-76,egopi2,1488829763018
11.724593,5.658967,-72,egopi3,1488829763068
11.724593,5.658967,-76,egopi1,1488829763095
11.724593,5.658967,-80,egopi2,1488829763144
11.724593,5.658967,-68,egopi3,1488829763191
11.724593,5.658967,-73,egopi1,1488829763227
11.724593,5.658967,-87,egopi2,1488829763272
11.724593,5.658967,-67,egopi3,1488829763318
11.724593,5.658967,-71,egopi1,1488829763346
11.724593,5.658967,-82,egopi2,1488829763403
11.724593,5.658967,-70,egopi3,1488829763446
11.724593,5.658967,-74,egopi1,1488829763471
11.724593,5.658967,-85,egopi2,1488829763528
11.724593,5.658967,-69,egopi3,1488829763574
11.724593,5.658967,-72,egopi1,1488829763598
11.724593,5.658967,-78,egopi2,1488829763653
11.724593,5.658967,-68,egopi3,1488829763699
11.724593,5.658967,-74,egopi1,1488829763724
11.724593,5.658967,-88,egopi2,1488829763779
11.724593,5.658967,-76,egopi1,1488829763850
11.724593,5.658967,-89,egopi2,1488829763907
11.724593,5.658967,-92,null,1488829763923
11.724593,5.658967,-58,egopi3,1488829763952
11.724593,5.658967,-82,egopi1,1488829763977
11.724593,5.658967,-81,egopi2,1488829764032
11.724593,5.658967,-77,egopi3,1488829764077
11.724593,5.658967,-84,egopi1,1488829764103
11.724593,5.658967,-85,egopi2,1488829764159
11.724593,5.658967,-72,egopi3,1488829764202
11.724593,5.658967,-79,egopi1,1488829764228
11.724593,5.658967,-82,egopi2,1488829764285
11.724593,5.658967,-95,null,1488829764303
11.724593,5.658967,-70,egopi3,1488829764332
11.724593,5.658967,-73,egopi1,1488829764354
11.724593,5.658967,-79,egopi2,1488829764413
11.724593,5.658967,-78,egopi3,1488829764456
11.724593,5.658967,-83,egopi1,1488829764479
11.724593,5.658967,-85,egopi2,1488829764539
11.724593,5.658967,-64,egopi3,1488829764584
11.724593,5.658967,-82,egopi1,1488829764610
11.724593,5.658967,-88,egopi2,1488829764665
11.724593,5.658967,-67,egopi3,1488829764710
11.724593,5.658967,-89,egopi1,1488829764737
11.724593,5.658967,-76,egopi2,1488829764791
11.724593,5.658967,-67,egopi3,1488829764837
11.724593,5.658967,-78,egopi1,1488829764862
11.724593,5.658967,-89,egopi2,1488829764922
11.724593,5.658967,-69,egopi3,1488829764960
11.724593,5.658967,-75,egopi1,1488829764987
11.724593,5.658967,-84,egopi2,1488829765050
11.724593,5.658967,-69,egopi3,1488829765092
11.724593,5.658967,-83,egopi2,1488829765177
11.724593,5.658967,-92,null,1488829765211
11.724593,5.658967,-73,egopi3,1488829765226
11.724593,5.658967,-78,egopi1,1488829765248
11.724593,5.658967,-74,egopi3,1488829765342
11.724593,5.658967,-88,egopi1,1488829765370
11.724593,5.658967,-93,null,1488829765386
11.724593,5.658967,-92,null,1488829765395
11.724593,5.658967,-78,egopi3,1488829765466
11.724593,5.658967,-88,egopi1,1488829765498
11.724593,5.658967,-75,egopi3,1488829765592
11.724593,5.658967,-81,egopi1,1488829765627
11.724593,5.658967,-90,egopi2,1488829765682
11.724593,5.658967,-76,egopi3,1488829765720
11.724593,5.658967,-79,egopi1,1488829765753
11.724593,5.658967,-66,egopi3,1488829765841
11.724593,5.658967,-76,egopi1,1488829765880
11.724593,5.658967,-63,egopi3,1488829765970
11.724593,5.658967,-77,egopi1,1488829766009
11.724593,5.658967,-82,egopi2,1488829766063
11.724593,5.658967,-72,egopi3,1488829766094
11.724593,5.658967,-77,egopi1,1488829766133
11.724593,5.658967,-64,egopi3,1488829766220
11.724593,5.658967,-76,egopi1,1488829766259
11.724593,5.658967,-82,egopi2,1488829766317
11.724593,5.658967,-66,egopi3,1488829766347
11.724593,5.658967,-88,egopi2,1488829766446
11.724593,5.658967,-84,egopi3,1488829766478
11.724593,5.658967,-84,egopi1,1488829766509
11.724593,5.658967,-82,egopi2,1488829766572
11.724593,5.658967,-74,egopi3,1488829766603
11.724593,5.658967,-79,egopi2,1488829766698
11.724593,5.658967,-71,egopi3,1488829766728
11.724593,5.658967,-82,egopi1,1488829766761
11.724593,5.658967,-88,egopi2,1488829766827
11.724593,5.658967,-70,egopi3,1488829766857
11.724593,5.658967,-97,null,1488829766861
11.724593,5.658967,-82,egopi1,1488829766889
11.724593,5.658967,-70,egopi3,1488829766979
11.724593,5.658967,-95,null,1488829767038
11.724593,5.658967,-85,egopi2,1488829767072
11.724593,5.658967,-69,egopi3,1488829767109
11.724593,5.658967,-90,egopi1,1488829767143
11.724593,5.658967,-84,egopi2,1488829767197
11.724593,5.658967,-61,egopi3,1488829767235
11.724593,5.658967,-86,egopi1,1488829767267
11.724593,5.658967,-82,egopi2,1488829767322
11.724593,5.658967,-70,egopi3,1488829767362
11.724593,5.658967,-73,egopi1,1488829767397
11.724593,5.658967,-89,egopi2,1488829767450
11.724593,5.658967,-69,egopi3,1488829767488
11.724593,5.658967,-86,egopi1,1488829767522
11.724593,5.658967,-88,egopi2,1488829767575
11.724593,5.658967,-90,null,1488829767587
11.724593,5.658967,-91,null,1488829767590
11.724593,5.658967,-73,egopi3,1488829767615
11.724593,5.658967,-89,egopi1,1488829767647
